date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:21	6769/6769	---M--	200	added ('OK')	image/png	etag:%2257bd21652e463b2ebc21c3d485f130bc-ssl%22	https://js-786-assignments.netlify.app/assests/img/4-1.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/4-1.png	(from https://js-786-assignments.netlify.app/index.html)
07:19:22	18290/18290	---M--	200	added ('OK')	image/png	etag:%2241900c2dee4fc50ddd03deab71ef3260-ssl%22	https://js-786-assignments.netlify.app/assests/img/4-2.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/4-2.png	(from https://js-786-assignments.netlify.app/index.html)
07:19:22	9998/9998	---MCZ	200	added ('OK')	application/javascript	etag:%221e1e0def8a3aedaffe5aa5a70f14f418-ssl-df%22	https://js-786-assignments.netlify.app/app.js	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/app.js	(from https://js-786-assignments.netlify.app/index.html)
07:19:23	143516/143516	---M--	200	added ('OK')	font/ttf	etag:%22abb8719ca176b5e00b14bdf369b20a62-ssl%22	https://js-786-assignments.netlify.app/assests/fonts/Poppins-Medium.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/fonts/Poppins-Medium.ttf	(from https://js-786-assignments.netlify.app/style.css)
07:19:24	145312/145312	---M--	200	added ('OK')	font/ttf	etag:%22b9280bac59c36c82870abab52ae609ae-ssl%22	https://js-786-assignments.netlify.app/assests/fonts/Poppins-Regular.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/fonts/Poppins-Regular.ttf	(from https://js-786-assignments.netlify.app/style.css)
07:19:25	142148/142148	---M--	200	added ('OK')	font/ttf	etag:%221ecf291bf19cbdeb554d91e6a4a7f47a-ssl%22	https://js-786-assignments.netlify.app/assests/fonts/Poppins-SemiBold.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/fonts/Poppins-SemiBold.ttf	(from https://js-786-assignments.netlify.app/style.css)
07:19:25	8762/8762	---MCZ	200	added ('OK')	text/css	etag:%22c563127e9f7bc59c3e9f94b25aeffe8d-ssl-df%22	https://js-786-assignments.netlify.app/salt-peper-website/style.css	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/style.css	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:25	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Web%20Development/twitter-clone/js/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:26	20460/20460	---M--	200	added ('OK')	image/png	etag:%22072199c9208338cc24391ea9b76f4e62-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/saltnpepper-restaurant_Logo.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/saltnpepper-restaurant_Logo.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:27	4067/4067	---M--	200	added ('OK')	image/png	etag:%224acaff2031e7ee408a81c554bad82924-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/salt-n-pepper-white-text.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/salt-n-pepper-white-text.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:28	10866/10866	---M--	200	added ('OK')	image/png	etag:%22bb0edbee1e6a6c39c61097ee3ef2907f-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/s1.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/s1.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:29	13763/13763	---M--	200	added ('OK')	image/png	etag:%22b52d8f9d40f3122397be318a5f9cf177-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/s2.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/s2.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:30	10559/10559	---M--	200	added ('OK')	image/png	etag:%22f4cd923dadf1192723d87448198b7d95-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/s3.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/s3.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:31	6034/6034	---M--	200	added ('OK')	image/png	etag:%22c24f10ddb4f7cd029d16207cff860804-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/lines.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/lines.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:31	6567/6567	---M--	200	added ('OK')	image/png	etag:%226c0af579e311ef73792db6f5e4442794-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/Get-it-on-Google-Play.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/Get-it-on-Google-Play.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:32	25293/25293	---M--	200	added ('OK')	image/png	etag:%22041170268f9c2b1327ee9f824b88f32a-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/Download-on-the-App-Store.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/Download-on-the-App-Store.png	(from https://js-786-assignments.netlify.app/salt-peper-website/)
07:19:33	33180/33180	---M--	200	added ('OK')	font/ttf	etag:%22e4a461600c0c1368896376cd0a5f67c9-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Light.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Light.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:34	33000/33000	---M--	200	added ('OK')	font/ttf	etag:%227d638d29735b31560effa1b8710abe75-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Thin.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Thin.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:35	33008/33008	---M--	200	added ('OK')	font/ttf	etag:%228a9583a32123d17f12fc2b2a179e3c7a-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Regular.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-Regular.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:35	33004/33004	---M--	200	added ('OK')	font/ttf	etag:%228489a99397301d4a71fac66855f623e7-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-SemiBold.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/josefin-sans-new/JosefinSans-SemiBold.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:37	211380/211380	---M--	200	added ('OK')	font/ttf	etag:%225f84d7a7bb2469087f5f0a4f889ee64b-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Bold.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Bold.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:37	240984/240984	---M--	200	added ('OK')	font/ttf	etag:%22b8f8729cad8e2c02970ac128b362a8e1-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Italic.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Italic.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:38	257540/257540	---M--	200	added ('OK')	font/ttf	etag:%2266960c58672470ee669f9b2e9bfab6ae-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Regular.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/philosopher-new/Philosopher-Regular.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:39	174260/174260	---M--	200	added ('OK')	font/ttf	etag:%2218ef514939d18addc714414125d80c33-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/Dosis/Dosis-Medium.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/Dosis/Dosis-Medium.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:40	169016/169016	---M--	200	added ('OK')	font/ttf	etag:%22964b4bb1441e1416926ba307dcf3b307-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/Dosis/Dosis-Light.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/Dosis/Dosis-Light.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:41	36804/36804	---M--	200	added ('OK')	font/ttf	etag:%223bd6b5715f981492417c3704a5ca2ece-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/fonts/gilda-display/GildaDisplay-Regular.ttf	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/fonts/gilda-display/GildaDisplay-Regular.ttf	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:42	282487/282487	---M--	200	added ('OK')	image/png	etag:%223c805d084db38c2b651ad1039f8e20c5-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/isb.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/isb.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:43	335305/335305	---M--	200	added ('OK')	image/png	etag:%228f19533ea2a8a4b901da024ffe90aea3-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/faislabad.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/faislabad.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:44	399318/399318	---M--	200	added ('OK')	image/png	etag:%22da86ea0e8f0ea9ea228d7dee63384e66-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/bhawlpur.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/bhawlpur.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:45	263097/263097	---M--	200	added ('OK')	image/png	etag:%22555afb85f3838f1ce1bde63cad03281c-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/n2.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/n2.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:46	2862881/2862881	---M--	200	added ('OK')	image/png	etag:%220a18300abb97c6fe702e5a4b58cf8db3-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/saltnpepper-village-home.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/saltnpepper-village-home.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:46	270262/270262	---M--	200	added ('OK')	image/png	etag:%220345dd2487a41a7ff6a427bb574859b3-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/n1.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/n1.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
07:19:47	368223/368223	---M--	200	added ('OK')	image/png	etag:%22cf60de30fe7a28f02602578ef4ce253e-ssl%22	https://js-786-assignments.netlify.app/salt-peper-website/assests/img/n3.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/assests/img/n3.png	(from https://js-786-assignments.netlify.app/salt-peper-website/style.css)
